Calories,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
150,female,45,158.0,53.0,23.0,106.0,40.7
179,female,31,165.0,60.0,25.0,115.0,40.8
23,male,21,195.0,93.0,6.0,93.0,39.2
10,male,50,190.0,96.0,3.0,80.0,38.3
39,male,39,175.0,74.0,9.0,93.0,39.5
247,male,57,169.0,81.0,30.0,112.0,40.9
89,female,26,159.0,53.0,19.0,92.0,40.5
141,male,34,181.0,83.0,25.0,102.0,40.9
18,female,55,160.0,62.0,4.0,87.0,39.1
70,female,52,171.0,67.0,15.0,89.0,40.6
185,male,21,188.0,90.0,29.0,110.0,40.8
54,female,20,136.0,45.0,11.0,94.0,40.1
207,female,79,152.0,60.0,29.0,107.0,40.8
189,male,21,189.0,91.0,27.0,114.0,41.0
6,male,50,171.0,74.0,2.0,82.0,38.1
60,female,29,180.0,76.0,12.0,97.0,39.9
23,male,22,194.0,92.0,6.0,92.0,39.0
186,female,28,158.0,60.0,27.0,113.0,40.8
178,male,38,188.0,93.0,28.0,104.0,40.9
122,male,23,169.0,73.0,25.0,102.0,40.7
166,female,68,159.0,68.0,24.0,108.0,40.5
158,male,79,176.0,86.0,20.0,102.0,40.1
7,female,35,182.0,70.0,2.0,83.0,38.4
143,male,67,201.0,96.0,18.0,105.0,40.5
43,female,21,156.0,52.0,12.0,82.0,39.8
86,female,44,143.0,49.0,17.0,92.0,40.2
128,female,43,175.0,72.0,23.0,100.0,40.7
182,male,21,186.0,79.0,29.0,111.0,41.0
52,female,32,170.0,70.0,10.0,98.0,39.7
236,male,79,179.0,91.0,27.0,107.0,40.4
114,male,51,192.0,96.0,19.0,97.0,40.6
64,female,60,174.0,67.0,11.0,99.0,39.7
171,male,49,184.0,86.0,26.0,103.0,40.8
19,male,46,179.0,84.0,6.0,82.0,39.2
144,female,35,149.0,54.0,21.0,111.0,40.5
37,male,31,172.0,76.0,9.0,94.0,39.7
185,male,42,185.0,78.0,26.0,110.0,41.4
60,female,66,174.0,69.0,13.0,87.0,39.8
127,male,52,189.0,90.0,22.0,96.0,40.5
149,male,59,166.0,73.0,23.0,101.0,40.4
78,male,23,169.0,71.0,16.0,102.0,40.1
24,female,49,164.0,63.0,5.0,91.0,38.9
143,female,25,157.0,57.0,23.0,107.0,40.8
143,male,20,188.0,84.0,27.0,104.0,41.0
71,female,28,163.0,66.0,15.0,94.0,40.1
58,male,60,182.0,90.0,11.0,90.0,40.2
71,female,29,178.0,77.0,15.0,95.0,40.4
20,male,40,184.0,87.0,5.0,88.0,39.5
78,male,26,191.0,93.0,17.0,96.0,40.3
93,female,26,176.0,76.0,19.0,97.0,40.4
17,male,25,158.0,58.0,6.0,90.0,39.2
12,female,60,190.0,87.0,3.0,84.0,38.9
115,male,25,181.0,81.0,23.0,101.0,40.8
119,female,39,165.0,65.0,19.0,106.0,40.6
168,female,30,153.0,53.0,26.0,108.0,40.6
44,male,23,198.0,100.0,12.0,90.0,40.4
192,female,37,148.0,51.0,29.0,108.0,40.6
96,female,22,147.0,47.0,17.0,101.0,40.3
135,female,26,170.0,68.0,23.0,105.0,40.7
54,female,56,167.0,60.0,12.0,86.0,40.2
239,male,43,171.0,79.0,30.0,115.0,40.8
69,female,38,169.0,65.0,14.0,94.0,40.1
46,male,24,179.0,80.0,14.0,90.0,40.7
115,female,25,164.0,63.0,21.0,101.0,40.7
17,female,31,163.0,62.0,4.0,88.0,39.1
190,female,54,151.0,57.0,25.0,115.0,40.4
48,female,34,190.0,91.0,12.0,89.0,40.2
178,female,28,176.0,72.0,27.0,112.0,40.7
20,male,24,191.0,95.0,6.0,88.0,39.3
64,female,27,167.0,69.0,15.0,90.0,40.4
95,female,35,154.0,57.0,19.0,94.0,40.6
196,male,49,183.0,89.0,25.0,111.0,40.8
9,male,36,185.0,91.0,2.0,91.0,38.1
105,female,58,192.0,83.0,18.0,101.0,40.8
58,female,40,157.0,61.0,12.0,92.0,40.0
111,male,31,179.0,77.0,24.0,97.0,40.8
108,male,50,182.0,86.0,17.0,101.0,40.3
24,male,36,202.0,109.0,6.0,87.0,39.1
67,female,34,163.0,61.0,13.0,96.0,40.1
62,female,78,153.0,54.0,13.0,84.0,40.3
172,male,41,178.0,76.0,28.0,104.0,40.8
24,male,41,172.0,71.0,7.0,87.0,39.5
84,male,24,178.0,77.0,19.0,98.0,40.1
132,female,67,173.0,69.0,20.0,105.0,40.5
167,female,47,179.0,75.0,25.0,110.0,40.7
101,female,42,154.0,52.0,17.0,101.0,40.6
113,female,25,180.0,75.0,23.0,97.0,40.6
84,male,25,179.0,78.0,17.0,101.0,40.3
28,female,58,165.0,68.0,6.0,88.0,39.4
157,male,68,191.0,98.0,22.0,99.0,41.0
64,male,24,181.0,91.0,14.0,97.0,40.4
133,male,38,192.0,92.0,21.0,104.0,40.6
145,female,26,164.0,59.0,23.0,108.0,40.5
174,male,64,178.0,83.0,24.0,103.0,41.0
34,female,49,174.0,75.0,7.0,93.0,39.2
193,female,73,158.0,57.0,29.0,103.0,40.9
147,male,27,180.0,86.0,24.0,107.0,40.7
133,male,66,171.0,72.0,18.0,105.0,40.5
161,male,39,199.0,104.0,26.0,101.0,40.7
18,female,30,168.0,62.0,6.0,76.0,39.4
85,male,76,187.0,96.0,12.0,96.0,40.1
90,male,60,193.0,90.0,15.0,95.0,40.0
176,male,54,188.0,90.0,23.0,108.0,40.9
51,female,49,166.0,66.0,11.0,89.0,39.6
24,female,24,173.0,66.0,7.0,82.0,39.3
22,female,28,161.0,57.0,6.0,83.0,39.5
212,male,72,197.0,102.0,25.0,106.0,40.9
201,male,32,171.0,78.0,29.0,112.0,40.9
83,female,36,159.0,59.0,17.0,93.0,40.3
87,male,65,204.0,103.0,14.0,93.0,40.1
141,female,36,163.0,67.0,27.0,97.0,40.7
134,female,32,159.0,63.0,23.0,103.0,40.3
5,male,42,180.0,84.0,2.0,80.0,38.6
201,male,34,191.0,94.0,29.0,109.0,40.9
9,male,34,181.0,78.0,3.0,86.0,38.2
20,male,26,191.0,86.0,8.0,83.0,39.3
221,male,31,203.0,105.0,29.0,113.0,40.8
112,female,64,157.0,63.0,17.0,105.0,40.1
108,male,34,185.0,93.0,20.0,99.0,40.3
257,male,63,204.0,112.0,29.0,110.0,40.4
192,male,44,194.0,87.0,27.0,108.0,40.8
72,male,36,190.0,96.0,17.0,90.0,40.3
169,male,41,173.0,71.0,28.0,104.0,41.2
120,male,73,168.0,77.0,18.0,97.0,40.3
172,male,31,186.0,85.0,28.0,106.0,40.8
21,male,22,179.0,73.0,10.0,84.0,39.9
105,female,34,161.0,56.0,18.0,102.0,40.6
156,female,21,168.0,65.0,25.0,109.0,40.3
13,female,22,145.0,50.0,3.0,89.0,38.7
134,male,33,190.0,97.0,24.0,100.0,40.8
130,female,51,157.0,60.0,21.0,103.0,40.4
7,male,45,195.0,99.0,2.0,83.0,37.9
140,female,33,175.0,67.0,25.0,101.0,41.1
34,male,47,198.0,97.0,7.0,91.0,39.3
34,female,70,175.0,74.0,9.0,79.0,40.0
44,female,77,160.0,63.0,8.0,92.0,39.5
42,female,35,172.0,71.0,11.0,85.0,39.9
9,female,44,161.0,60.0,2.0,89.0,38.4
107,female,71,164.0,60.0,18.0,97.0,40.5
39,female,54,174.0,75.0,9.0,87.0,39.6
178,female,63,166.0,68.0,26.0,108.0,40.8
79,female,50,149.0,55.0,13.0,101.0,40.4
113,male,63,200.0,105.0,15.0,102.0,40.3
143,female,30,163.0,58.0,22.0,109.0,40.5
16,female,33,163.0,57.0,4.0,84.0,38.7
137,male,38,189.0,91.0,24.0,100.0,40.5
71,male,20,183.0,81.0,17.0,97.0,40.5
72,female,67,159.0,62.0,13.0,94.0,40.2
76,male,24,188.0,90.0,14.0,103.0,40.1
187,male,30,197.0,103.0,27.0,109.0,40.5
109,female,35,145.0,49.0,18.0,103.0,40.2
204,female,63,176.0,79.0,29.0,111.0,40.5
29,female,50,157.0,60.0,6.0,91.0,39.4
91,male,33,200.0,101.0,17.0,98.0,40.5
16,female,36,163.0,58.0,4.0,84.0,39.0
36,male,75,187.0,97.0,7.0,84.0,39.1
80,male,56,184.0,93.0,13.0,97.0,39.9
151,female,50,182.0,75.0,22.0,111.0,40.6
195,male,24,183.0,80.0,27.0,116.0,40.6
26,female,32,172.0,72.0,8.0,80.0,39.5
138,male,49,193.0,100.0,22.0,99.0,40.5
15,female,77,170.0,65.0,3.0,89.0,39.0
120,male,67,171.0,75.0,19.0,97.0,40.5
197,male,23,182.0,81.0,30.0,112.0,41.0
114,male,37,192.0,95.0,21.0,98.0,40.7
127,female,35,163.0,59.0,20.0,107.0,40.6
112,male,34,185.0,83.0,23.0,97.0,40.8
116,female,49,168.0,67.0,21.0,98.0,40.4
35,female,69,156.0,61.0,8.0,83.0,39.4
110,male,49,194.0,101.0,16.0,103.0,40.4
117,female,41,150.0,51.0,22.0,95.0,40.2
115,male,42,195.0,95.0,17.0,105.0,40.2
157,male,52,188.0,93.0,21.0,107.0,40.6
54,female,26,158.0,60.0,12.0,91.0,40.0
163,female,79,178.0,80.0,25.0,104.0,40.5
156,male,72,172.0,82.0,19.0,107.0,40.5
42,male,34,195.0,92.0,10.0,91.0,39.9
35,female,60,152.0,50.0,7.0,89.0,39.8
34,female,45,158.0,57.0,7.0,91.0,39.3
99,male,33,188.0,92.0,19.0,98.0,40.4
161,male,56,192.0,97.0,20.0,109.0,40.5
38,female,21,153.0,54.0,8.0,94.0,39.8
104,female,50,161.0,61.0,18.0,99.0,40.5
200,male,60,184.0,86.0,27.0,105.0,41.0
183,male,39,162.0,72.0,28.0,108.0,40.7
140,male,48,175.0,75.0,19.0,110.0,40.7
100,female,38,163.0,65.0,19.0,97.0,40.5
178,male,54,190.0,95.0,22.0,110.0,40.3
150,male,23,195.0,89.0,27.0,104.0,41.0
83,female,72,164.0,68.0,15.0,94.0,40.2
12,male,47,179.0,79.0,6.0,74.0,39.3
49,female,58,170.0,72.0,8.0,103.0,39.9
147,male,41,179.0,85.0,25.0,101.0,40.8
44,male,62,193.0,100.0,8.0,90.0,39.4
179,female,30,168.0,67.0,29.0,107.0,40.9
161,female,32,156.0,56.0,23.0,113.0,40.5
20,male,20,178.0,80.0,9.0,84.0,39.4
127,female,53,168.0,65.0,21.0,102.0,40.5
247,male,51,189.0,95.0,30.0,112.0,41.0
173,male,78,177.0,86.0,23.0,100.0,40.8
3,female,31,169.0,69.0,1.0,74.0,37.6
32,male,74,205.0,112.0,6.0,83.0,39.0
140,female,50,177.0,70.0,22.0,106.0,40.9
34,female,40,160.0,70.0,8.0,88.0,40.0
30,male,41,172.0,75.0,8.0,88.0,39.7
64,female,26,161.0,54.0,13.0,94.0,40.3
152,male,25,185.0,89.0,27.0,104.0,40.8
91,male,31,184.0,89.0,15.0,105.0,39.9
9,male,20,186.0,90.0,4.0,83.0,38.8
20,female,55,176.0,72.0,5.0,84.0,39.3
156,female,52,160.0,59.0,25.0,103.0,40.7
223,male,60,208.0,105.0,26.0,110.0,40.6
83,male,36,191.0,93.0,16.0,97.0,40.0
51,female,53,168.0,69.0,11.0,89.0,40.0
52,male,36,193.0,95.0,10.0,97.0,40.0
170,female,23,169.0,68.0,25.0,114.0,40.9
7,female,36,164.0,57.0,2.0,79.0,37.9
149,female,37,166.0,61.0,25.0,103.0,40.7
181,male,48,181.0,80.0,27.0,105.0,40.6
201,female,39,167.0,71.0,27.0,118.0,41.1
23,male,21,205.0,103.0,7.0,88.0,39.6
109,male,20,187.0,86.0,23.0,100.0,40.3
30,male,57,169.0,72.0,8.0,84.0,39.7
84,female,77,160.0,66.0,15.0,94.0,40.5
128,male,34,184.0,85.0,19.0,109.0,40.4
137,male,52,189.0,92.0,23.0,97.0,40.7
216,male,70,194.0,91.0,28.0,103.0,40.8
68,female,64,157.0,54.0,12.0,95.0,40.1
129,male,73,198.0,101.0,18.0,97.0,40.7
50,male,47,195.0,99.0,11.0,88.0,39.8
19,female,39,164.0,65.0,5.0,84.0,39.2
30,female,25,163.0,60.0,7.0,89.0,39.4
197,male,22,165.0,67.0,27.0,119.0,40.4
24,male,67,173.0,78.0,4.0,95.0,38.7
70,female,64,164.0,67.0,13.0,94.0,40.2
54,male,37,200.0,100.0,12.0,91.0,40.1
88,male,21,184.0,78.0,19.0,100.0,40.5
24,male,40,190.0,97.0,7.0,83.0,39.5
121,female,36,174.0,68.0,19.0,108.0,40.1
57,female,53,178.0,77.0,11.0,95.0,39.9
126,male,41,192.0,99.0,22.0,98.0,40.5
24,male,56,184.0,88.0,5.0,89.0,39.5
41,female,29,166.0,65.0,11.0,84.0,40.0
28,male,28,192.0,92.0,7.0,92.0,39.5
34,male,22,191.0,88.0,10.0,90.0,39.7
161,male,76,195.0,93.0,23.0,96.0,40.5
20,male,73,175.0,76.0,4.0,86.0,38.9
119,male,39,191.0,86.0,23.0,97.0,40.6
63,female,69,162.0,59.0,11.0,95.0,39.6
58,female,46,180.0,75.0,12.0,93.0,40.1
215,female,30,163.0,58.0,30.0,115.0,40.6
96,female,35,168.0,67.0,17.0,101.0,40.1
160,female,60,176.0,71.0,24.0,107.0,41.0
154,female,35,150.0,50.0,25.0,104.0,41.0
11,male,26,182.0,84.0,5.0,81.0,39.1
122,male,21,183.0,83.0,23.0,104.0,40.5
124,female,27,158.0,57.0,22.0,101.0,40.4
113,female,47,172.0,69.0,21.0,97.0,40.6
9,female,27,183.0,79.0,3.0,80.0,38.9
208,male,49,181.0,79.0,29.0,108.0,40.7
101,male,27,178.0,83.0,19.0,102.0,41.0
66,male,46,194.0,91.0,14.0,91.0,40.0
100,male,58,197.0,98.0,14.0,102.0,40.1
65,male,27,172.0,77.0,13.0,101.0,39.9
47,male,29,176.0,76.0,13.0,91.0,39.8
8,male,39,197.0,96.0,3.0,78.0,38.6
17,female,56,160.0,63.0,4.0,84.0,38.7
101,male,32,183.0,83.0,21.0,97.0,40.4
18,female,43,169.0,67.0,5.0,80.0,39.0
131,male,21,202.0,98.0,21.0,108.0,40.5
58,female,76,175.0,72.0,10.0,97.0,39.8
87,female,22,162.0,59.0,15.0,104.0,40.0
152,male,35,200.0,99.0,24.0,104.0,40.6
193,male,45,191.0,95.0,28.0,105.0,41.0
51,male,32,176.0,83.0,10.0,99.0,39.7
157,male,39,178.0,80.0,25.0,105.0,40.7
165,female,44,174.0,75.0,27.0,105.0,40.8
22,female,26,174.0,67.0,6.0,84.0,39.4
91,female,42,179.0,72.0,17.0,98.0,40.1
9,female,24,178.0,78.0,2.0,93.0,38.2
74,male,56,186.0,93.0,14.0,91.0,40.0
26,male,71,185.0,96.0,5.0,85.0,39.1
57,female,37,187.0,84.0,11.0,99.0,39.9
37,female,47,162.0,63.0,10.0,81.0,39.9
217,male,48,167.0,67.0,29.0,112.0,40.9
47,male,52,183.0,86.0,11.0,87.0,40.0
139,male,40,192.0,98.0,24.0,99.0,40.4
19,female,66,180.0,75.0,4.0,88.0,38.9
80,female,37,157.0,59.0,16.0,94.0,40.2
74,male,28,193.0,93.0,17.0,94.0,40.4
54,female,59,148.0,51.0,10.0,93.0,39.7
154,male,24,182.0,78.0,28.0,105.0,40.8
140,female,67,162.0,62.0,26.0,93.0,40.7
52,male,33,192.0,98.0,10.0,97.0,39.8
79,male,34,192.0,99.0,15.0,97.0,40.1
94,male,40,181.0,84.0,17.0,99.0,40.4
202,male,22,193.0,85.0,28.0,116.0,41.0
238,male,66,164.0,75.0,27.0,114.0,40.7
117,male,42,182.0,82.0,19.0,103.0,40.2
26,male,42,209.0,111.0,7.0,83.0,39.5
184,male,64,203.0,97.0,23.0,106.0,40.7
169,female,32,162.0,64.0,28.0,105.0,40.5
2,male,24,189.0,91.0,1.0,78.0,37.7
162,male,26,182.0,83.0,27.0,107.0,41.0
62,female,32,159.0,55.0,13.0,92.0,40.2
150,male,51,190.0,94.0,21.0,105.0,40.4
183,female,40,165.0,59.0,27.0,110.0,41.1
138,female,34,179.0,74.0,25.0,101.0,40.9
99,male,48,185.0,88.0,15.0,103.0,40.0
128,female,21,147.0,45.0,23.0,100.0,40.6
54,female,31,175.0,68.0,12.0,91.0,40.3
127,male,76,193.0,103.0,18.0,95.0,40.3
11,male,20,177.0,79.0,5.0,84.0,38.9
66,male,22,167.0,73.0,18.0,94.0,40.7
49,male,44,180.0,84.0,11.0,91.0,39.5
42,female,49,173.0,67.0,10.0,85.0,39.5
37,male,49,179.0,79.0,7.0,95.0,39.5
12,female,46,154.0,55.0,3.0,84.0,38.6
243,male,75,186.0,84.0,29.0,107.0,41.1
14,female,20,167.0,58.0,5.0,76.0,39.3
171,female,33,154.0,59.0,28.0,105.0,40.6
241,male,68,166.0,75.0,28.0,112.0,40.8
125,female,58,173.0,73.0,20.0,104.0,40.6
171,male,23,179.0,81.0,26.0,112.0,40.6
52,male,79,198.0,96.0,9.0,87.0,39.7
187,male,43,201.0,104.0,28.0,103.0,40.7
141,female,37,178.0,74.0,24.0,104.0,40.8
314,male,75,199.0,103.0,28.0,123.0,40.5
159,female,61,173.0,73.0,26.0,102.0,40.8
30,female,26,169.0,62.0,9.0,80.0,40.2
176,female,23,173.0,72.0,28.0,110.0,40.9
211,male,64,178.0,82.0,25.0,111.0,40.8
29,female,20,170.0,68.0,8.0,85.0,39.4
99,female,22,171.0,69.0,21.0,95.0,40.1
190,female,27,169.0,69.0,27.0,116.0,41.1
22,male,36,190.0,95.0,7.0,83.0,39.5
247,male,59,191.0,92.0,30.0,110.0,41.0
17,male,36,206.0,103.0,5.0,84.0,39.0
37,female,71,160.0,65.0,8.0,86.0,39.7
117,female,21,167.0,67.0,21.0,103.0,40.4
52,male,56,188.0,90.0,10.0,91.0,39.7
7,female,68,166.0,64.0,2.0,75.0,37.9
68,male,75,172.0,74.0,10.0,98.0,39.7
74,male,48,176.0,84.0,17.0,89.0,40.4
154,male,62,185.0,91.0,24.0,97.0,40.6
165,female,53,156.0,60.0,26.0,104.0,40.7
96,male,47,187.0,89.0,17.0,97.0,39.9
77,male,39,188.0,91.0,13.0,101.0,39.8
86,female,54,168.0,63.0,17.0,92.0,40.3
129,male,38,201.0,104.0,21.0,101.0,40.6
151,female,39,149.0,51.0,26.0,100.0,40.4
197,male,51,182.0,81.0,28.0,106.0,40.9
77,male,30,193.0,92.0,13.0,104.0,40.3
22,female,33,156.0,61.0,5.0,90.0,39.1
161,male,47,182.0,82.0,27.0,100.0,40.7
192,female,64,155.0,55.0,25.0,114.0,40.8
37,female,37,159.0,58.0,8.0,90.0,39.2
135,male,41,188.0,91.0,20.0,106.0,40.5
55,male,61,179.0,77.0,11.0,90.0,40.0
29,male,38,169.0,71.0,10.0,84.0,39.8
52,male,21,185.0,88.0,12.0,97.0,39.9
2,female,26,173.0,73.0,1.0,69.0,37.9
106,male,48,183.0,81.0,21.0,94.0,40.6
28,male,71,183.0,80.0,6.0,84.0,39.0
189,male,73,199.0,97.0,22.0,107.0,40.9
190,female,65,158.0,61.0,26.0,111.0,41.0
66,female,57,149.0,56.0,13.0,91.0,39.9
135,male,49,185.0,93.0,22.0,99.0,40.5
23,male,55,178.0,79.0,4.0,97.0,38.7
17,male,20,182.0,74.0,12.0,80.0,39.9
21,female,45,163.0,58.0,5.0,84.0,38.9
60,female,53,175.0,75.0,13.0,90.0,40.2
51,female,46,166.0,58.0,10.0,93.0,39.6
15,male,25,198.0,96.0,5.0,85.0,39.1
29,male,22,163.0,65.0,9.0,92.0,40.0
190,female,60,164.0,66.0,27.0,110.0,40.8
51,female,50,168.0,62.0,11.0,89.0,40.1
95,female,61,157.0,56.0,17.0,95.0,40.5
216,female,69,165.0,62.0,29.0,112.0,40.9
165,male,30,195.0,92.0,30.0,101.0,41.0
122,female,33,164.0,61.0,20.0,105.0,40.6
69,male,21,206.0,105.0,15.0,96.0,40.1
113,female,39,152.0,53.0,20.0,99.0,40.9
26,male,26,180.0,81.0,7.0,92.0,39.5
22,male,44,175.0,80.0,5.0,91.0,39.2
70,female,58,144.0,42.0,12.0,96.0,40.1
9,male,24,177.0,83.0,4.0,83.0,39.3
72,male,35,187.0,91.0,15.0,95.0,40.3
165,male,21,189.0,94.0,25.0,111.0,40.6
165,male,26,181.0,82.0,29.0,105.0,41.0
64,female,30,162.0,57.0,15.0,88.0,40.3
103,male,27,182.0,81.0,18.0,105.0,40.5
15,female,32,147.0,51.0,4.0,83.0,39.1
32,female,30,185.0,84.0,9.0,85.0,39.6
68,female,79,160.0,57.0,14.0,85.0,40.0
159,female,39,164.0,58.0,25.0,106.0,40.6
23,male,25,188.0,89.0,6.0,92.0,39.6
54,female,23,169.0,70.0,13.0,90.0,40.1
9,female,47,172.0,70.0,2.0,89.0,37.8
240,male,34,182.0,80.0,29.0,120.0,40.7
42,female,36,152.0,54.0,10.0,86.0,39.7
117,male,63,203.0,115.0,14.0,106.0,40.0
164,female,37,164.0,59.0,26.0,106.0,40.6
132,female,50,156.0,55.0,23.0,98.0,40.8
9,male,62,191.0,96.0,2.0,85.0,38.2
74,female,37,173.0,67.0,15.0,94.0,40.0
116,female,35,169.0,69.0,23.0,96.0,40.7
42,male,27,174.0,79.0,8.0,102.0,39.7
187,male,55,179.0,79.0,24.0,110.0,40.6
70,male,36,173.0,75.0,16.0,94.0,40.4
29,female,22,140.0,45.0,7.0,86.0,39.1
17,male,20,170.0,71.0,9.0,83.0,39.8
195,male,43,185.0,83.0,28.0,108.0,40.9
127,female,73,181.0,76.0,19.0,106.0,40.4
39,male,22,184.0,82.0,14.0,87.0,39.9
28,male,67,155.0,64.0,6.0,88.0,38.9
68,male,25,195.0,100.0,16.0,93.0,40.3
91,female,41,165.0,63.0,17.0,97.0,40.5
89,male,49,181.0,81.0,16.0,97.0,40.2
10,female,58,148.0,53.0,2.0,89.0,37.7
185,male,27,180.0,80.0,28.0,111.0,41.2
16,female,33,172.0,76.0,5.0,79.0,38.7
97,female,59,156.0,58.0,19.0,91.0,40.3
44,male,21,183.0,77.0,13.0,92.0,40.2
56,female,65,155.0,59.0,10.0,95.0,40.0
112,male,22,191.0,88.0,21.0,103.0,40.4
37,male,55,192.0,91.0,10.0,81.0,39.8
24,male,22,182.0,82.0,9.0,86.0,39.8
216,female,35,132.0,38.0,30.0,112.0,40.5
106,male,58,203.0,101.0,15.0,101.0,40.1
57,male,45,194.0,103.0,14.0,85.0,39.9
119,male,62,195.0,99.0,18.0,97.0,40.3
96,female,74,162.0,60.0,16.0,97.0,40.1
33,female,48,146.0,46.0,7.0,88.0,39.5
